"","Id","MSSubClass","MSZoning","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,60,"RL",8450,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","No","GLQ",706,150,856,"Ex","Y","SBrkr",856,854,1710,1,0,2,1,3,"Gd",8,0,"Attchd","RFn",2,548,"Y",0,61,2,2008,"WD","Normal",208500
"2",2,20,"RL",9600,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","Gd","ALQ",978,284,1262,"Ex","Y","SBrkr",1262,0,1262,0,1,2,0,3,"TA",6,1,"Attchd","RFn",2,460,"Y",298,0,5,2007,"WD","Normal",181500
"3",3,60,"RL",11250,"IR1","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","Mn","GLQ",486,434,920,"Ex","Y","SBrkr",920,866,1786,1,0,2,1,3,"Gd",6,1,"Attchd","RFn",2,608,"Y",0,42,9,2008,"WD","Normal",223500
"4",4,70,"RL",9550,"IR1","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","No","ALQ",216,540,756,"Gd","Y","SBrkr",961,756,1717,1,0,1,0,3,"Gd",7,1,"Detchd","Unf",3,642,"Y",0,35,2,2006,"WD","Abnorml",140000
"5",5,60,"RL",14260,"IR1","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","Av","GLQ",655,490,1145,"Ex","Y","SBrkr",1145,1053,2198,1,0,2,1,4,"Gd",9,1,"Attchd","RFn",3,836,"Y",192,84,12,2008,"WD","Normal",250000
"6",6,50,"RL",14115,"IR1","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","No","GLQ",732,64,796,"Ex","Y","SBrkr",796,566,1362,1,0,1,1,1,"TA",5,0,"Attchd","Unf",2,480,"Y",40,30,10,2009,"WD","Normal",143000
"7",7,20,"RL",10084,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","Av","GLQ",1369,317,1686,"Ex","Y","SBrkr",1694,0,1694,1,0,2,0,3,"Gd",7,1,"Attchd","RFn",2,636,"Y",255,57,8,2007,"WD","Normal",307000
"8",8,60,"RL",10382,"IR1","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","Mn","ALQ",859,216,1107,"Ex","Y","SBrkr",1107,983,2090,1,0,2,1,3,"TA",7,2,"Attchd","RFn",2,484,"Y",235,204,11,2009,"WD","Normal",200000
"9",9,50,"RM",6120,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","No","Unf",0,952,952,"Gd","Y","FuseF",1022,752,1774,0,0,2,0,2,"TA",8,2,"Detchd","Unf",2,468,"Y",90,0,4,2008,"WD","Abnorml",129900
"10",10,190,"RL",7420,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","GLQ",851,140,991,"Ex","Y","SBrkr",1077,0,1077,1,0,1,0,2,"TA",5,2,"Attchd","RFn",1,205,"Y",0,4,1,2008,"WD","Normal",118000
